race,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
  White,9.7,10,9.7,9.5,9.7,9.6,9.7,9.7,9.9,9.3,9.6,9.5,10.1,10.2,10.2,10.6,10.6,10.5,10.6,11.1,10.9,10.4,11,11
  Black or African American,12.9,15.7,16,15.9,15,15.5,15.3,16.8,13.7,13.4,12.8,13.7,15.9,14.4,14.6,16.4,15.5,14.6,15.3,14.7,15.1,15.1,15.1,13.3
  Asian or Pacific Islander,9.9,8.5,7.2,8.1,6.7,8.1,7.9,8.4,8.6,8.6,9.2,9.3,9.1,8.1,9.1,8,9.5,8.8,9.3,9.7,10.5,9.1,10.3,9.4
  Hispanic or Latino,9.9,10.7,9.3,10,9.8,9,9,9.9,10.1,9.8,9.1,10,11.1,8.6,9.3,11.1,9.7,10.6,9.6,9.6,9.9,10.2,10.4,11.2
"  White, not Hispanic or Latino",9.7,9.8,9.7,9.5,9.7,9.7,9.8,9.6,9.8,9.3,9.6,9.4,10,10.5,10.3,10.6,10.7,10.4,10.8,11.4,11.1,10.4,11.1,10.9
