race,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
  White,12.7,12.6,12.6,12.2,12.4,12.4,12.2,12.6,12.8,12.4,12.6,12.9,13,12.3,13.2,13.4,13.9,13.9,13.7,14.1,13.5,14.2,14.5,14
  Black or African American,19.3,17.9,18.8,18.4,19,19.1,18.9,18.1,17.5,18.4,18.2,15.6,13.9,17.4,18.2,18.3,17.2,16.4,18.5,18.9,18.6,17,16.1,17.8
  Asian or Pacific Islander,11,10.3,10.7,11.9,14.3,10.3,10.6,12.1,10.6,9.2,10.7,10,9.9,10.2,12.1,11.8,10.4,11.8,11.9,10.7,11.4,12.2,10.3,12.1
  Hispanic or Latino,10.7,9.9,11.3,10.4,9.7,12,11.4,11.7,9.9,9.3,12.2,9.6,10.9,10.1,11.4,12.3,12.9,11.9,11.6,13.5,11.5,13.4,10.7,11.8
"  White, not Hispanic or Latino",12.8,12.8,12.7,12.3,12.7,12.4,12.3,12.7,13.1,12.7,12.7,13.3,13.2,12.7,13.4,13.6,14,14.2,14.1,14.2,13.8,14.3,15,14.3
