race,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
  White,134.2,136.2,134.3,131.9,134.1,136.3,137.1,141.3,144.9,144.9,140.6,142.5,138.7,129.1,129,129.6,127.4,130.3,129.9,132.1,127.3,130.5,129.3,129.1
  Black or African American,117.4,116.4,122.2,118,122.4,123,124.1,126.5,126.3,125.6,122.8,118.3,124.3,123.3,124,119.3,124.7,126.6,126,128.7,123.5,129.2,130.8,126.4
  American Indian or Alaska Native,69.6,73.1,98.7,98.2,87.4,96.7,118.4,85.1,92.6,85.9,100.2,97.1,82.1,94.1,102,105.6,89.2,89.8,90.2,99.3,91.7,105.3,97.2,89.7
  Asian or Pacific Islander,88.1,83.2,90.7,86.8,83.5,88.4,91.8,101.5,101.3,100.5,94.9,101.8,100.8,92.2,97.3,95.7,92.8,100,102.5,99.9,100.7,102.7,104.3,107.4
  Hispanic or Latino,91,93.9,91,83.3,86.1,89.4,93,91,95.1,95.1,97,91.5,93.4,88,91.3,93,91.2,90.9,93,91.3,87.3,96,91.7,93.4
"  White, not Hispanic or Latino",138.6,140.6,138.8,137.3,139.6,141.9,142.7,148.1,151.7,152.1,147,150.4,145.8,135.8,135.6,136.2,133.7,137.5,136.7,140.1,135.5,137.4,137.1,137
