race,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
  White...............................,94.1,92.8,90.9,88.2,86.6,85,82.9,80.9,82.1,78.8,76.3,76.2,75,74.3,70.4,70.8,68.8,68.5,66.1,65.4,62.8,60.3,58,55.1
  Black or African American...........,134.2,141.9,142.6,130.9,123.2,137,130.1,125.3,124.1,121.3,111.7,113.5,109.2,112.1,103,98,98.5,95.5,96.3,96.2,82.2,82.7,81.6,74.1
  American Indian or Alaska Native3..,77.3,45,54.2,94.2,77.2,82.8,67.8,75.1,69.2,54.6,62.6,82.7,46.2,74.2,60.9,67.4,63.6,61.5,69.5,62,67.1,55.6,45.2,53.2
  Asian or Pacific Islander...........,64.4,63,69.4,64.6,60.7,60.1,60.9,62.4,61.9,62.6,63.9,57.9,57.8,58.7,59.6,58.2,57.4,55.4,55.9,52.7,51,50,48.8,48.5
  Hispanic or Latino4................,59.4,54.2,54.3,51.1,49,52.4,48.6,48,50.7,44.6,45.2,43.1,49.1,46.5,41.1,43.9,39.8,44.6,40,38.8,34.5,35.6,33.9,33.8
"  White, not Hispanic or Latino4.....",97.4,96.5,94.5,91.8,90.3,88.4,86.6,84.5,85.6,82.9,80.2,80.6,78.4,77.9,74.5,74.6,73,72.2,70,69.4,67.2,64.2,62,58.8
